filename,lr_size,hr_size,scale_x,scale_y,ssim,color_drift,sharpness_ratio,bad,reasons
morrigan_00015_.png,78x118,312x472,4.0,4.0,0.8037,3.1236,0.4825,False,
morrigan_00016_.png,78x118,312x472,4.0,4.0,0.8015,3.3426,0.4948,False,
morrigan_00017_.png,78x118,312x472,4.0,4.0,0.7983,3.3448,0.4957,False,
morrigan_00018_.png,78x118,312x472,4.0,4.0,0.7952,3.524,0.4933,False,
morrigan_00019_.png,78x118,312x472,4.0,4.0,0.8006,3.4799,0.4869,False,
morrigan_00020_.png,78x118,312x472,4.0,4.0,0.8,3.2612,0.4869,False,
morrigan_00021_.png,78x118,312x472,4.0,4.0,0.7982,3.2912,0.4779,False,
morrigan_00022_.png,78x118,312x472,4.0,4.0,0.8007,3.3383,0.4945,False,
morrigan_00023_.png,78x118,312x472,4.0,4.0,0.801,3.3886,0.5042,False,
morrigan_00024_.png,78x118,312x472,4.0,4.0,0.8,3.4273,0.5104,False,
morrigan_00025_.png,78x118,312x472,4.0,4.0,0.806,3.2708,0.4802,False,
morrigan_00026_.png,78x118,312x472,4.0,4.0,0.8031,3.4122,0.4997,False,
morrigan_00027_.png,78x118,312x472,4.0,4.0,0.7995,3.282,0.495,False,
morrigan_00028_.png,78x118,312x472,4.0,4.0,0.7977,3.5668,0.4971,False,
morrigan_00029_.png,121x95,484x380,4.0,4.0,0.8688,2.1315,0.5034,False,
morrigan_00030_.png,121x95,484x380,4.0,4.0,0.8846,1.8366,0.555,False,
morrigan_00031_.png,121x95,484x380,4.0,4.0,0.8478,2.1612,0.5037,False,
morrigan_00032_.png,121x95,484x380,4.0,4.0,0.8398,2.4199,0.4506,False,
morrigan_00033_.png,121x95,484x380,4.0,4.0,0.8701,2.2594,0.5006,False,
omega_red_00001_.png,250x143,1000x572,4.0,4.0,0.8992,1.8723,0.6146,False,
omega_red_00002_.png,250x143,1000x572,4.0,4.0,0.9009,1.813,0.6278,False,
omega_red_00003_.png,250x143,1000x572,4.0,4.0,0.909,1.6942,0.8393,False,
omega_red_00004_.png,250x143,1000x572,4.0,4.0,0.9097,1.6918,0.846,False,
omega_red_00005_.png,250x143,1000x572,4.0,4.0,0.8898,1.9957,0.8754,False,
omega_red_00006_.png,250x143,1000x572,4.0,4.0,0.894,1.8692,0.744,False,
omega_red_00007_.png,250x143,1000x572,4.0,4.0,0.9091,1.8186,0.8445,False,
omega_red_00008_.png,250x143,1000x572,4.0,4.0,0.9068,1.7102,0.8442,False,
omega_red_00009_.png,250x143,1000x572,4.0,4.0,0.834,2.6704,0.5855,False,
omega_red_00010_.png,250x143,1000x572,4.0,4.0,0.8374,2.5296,0.6213,False,
omega_red_00011_.png,250x143,1000x572,4.0,4.0,0.8752,2.0755,0.698,False,
omega_red_00012_.png,250x143,1000x572,4.0,4.0,0.871,2.0145,0.6825,False,
omega_red_00013_.png,250x143,1000x572,4.0,4.0,0.8235,2.7602,0.6212,False,
